Date,Close,gmm_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,gmm_regime,numeric_regime,smoothed_numeric_regime,smoothed_regime
2023-05-05,18069.0,2,0.06641047039989435,0.1781282936622902,0.7554612359378162,Risk-On,2,2,Risk-On
2023-05-08,18264.400390625,2,0.08953145444960994,0.0058377648769898215,0.9046307806734002,Risk-On,2,2,Risk-On
2023-05-09,18265.94921875,2,0.1627170657662433,0.022982995181364888,0.8142999390523926,Risk-On,2,2,Risk-On
2023-05-10,18315.099609375,2,0.013267630798315158,0.018233783345654207,0.9684985858560314,Risk-On,2,2,Risk-On
2023-05-11,18297.0,2,0.06974730692577599,0.019081604206174597,0.9111710888680494,Risk-On,2,2,Risk-On
2023-05-12,18314.80078125,2,0.01856879543145278,0.005443694174921773,0.9759875103936247,Risk-On,2,2,Risk-On
2023-05-15,18398.849609375,2,0.01060930926956198,0.009471003933947198,0.9799196867964912,Risk-On,2,2,Risk-On
2023-05-16,18286.5,2,0.014927938729658299,0.03731166676863834,0.9477603945017039,Risk-On,2,2,Risk-On
2023-05-17,18181.75,2,0.051016318438000044,0.10842848684736295,0.8405551947146365,Risk-On,2,2,Risk-On
2023-05-18,18129.94921875,2,0.11303680666530493,0.04608221880951502,0.8408809745251807,Risk-On,2,2,Risk-On
2023-05-19,18203.400390625,2,0.08800829608073828,0.0051120597131024985,0.9068796442061592,Risk-On,2,2,Risk-On
2023-05-22,18314.400390625,2,0.12071875961950122,0.003115991724057681,0.8761652486564415,Risk-On,2,2,Risk-On
2023-05-23,18348.0,2,0.0421935373192167,0.003664731364600991,0.9541417313161816,Risk-On,2,2,Risk-On
2023-05-24,18285.400390625,2,0.004526176621763361,0.021399894162797854,0.974073929215438,Risk-On,2,2,Risk-On
2023-05-25,18321.150390625,2,0.00546367010962901,0.010264562627653965,0.984271767262717,Risk-On,2,2,Risk-On
2023-05-26,18499.349609375,2,0.0070980056710146944,0.01362560102091315,0.9792763933080721,Risk-On,2,2,Risk-On
2023-05-29,18598.650390625,2,0.04587543192208639,0.00021517515201851923,0.9539093929258959,Risk-On,2,2,Risk-On
2023-05-30,18633.849609375,2,0.02651202610247689,0.008766118867784127,0.9647218550297388,Risk-On,2,2,Risk-On
2023-05-31,18534.400390625,2,0.10718083446752578,0.0015375732611172068,0.8912815922713574,Risk-On,2,2,Risk-On
2023-06-01,18487.75,2,0.007965768198773336,0.013019172409445641,0.9790150593917811,Risk-On,2,2,Risk-On
2023-06-02,18534.099609375,2,0.022636749757104724,0.01840705478825512,0.95895619545464,Risk-On,2,2,Risk-On
2023-06-05,18593.849609375,2,0.042167213575503085,0.0343011553969564,0.9235316310275403,Risk-On,2,2,Risk-On
2023-06-06,18599.0,2,0.01764333136346516,0.029210701436475396,0.9531459672000602,Risk-On,2,2,Risk-On
2023-06-07,18726.400390625,2,0.02032693439259344,0.001594345383602656,0.9780787202238042,Risk-On,2,2,Risk-On
